Stock,Date,Info,Sentiment Score
MSFT,2020-04-03,[],0.41459648801831256
MSFT,2020-04-06,[],0.41459648801831256
MSFT,2020-04-07,[],0.41459648801831256
MSFT,2020-04-08,[],0.41459648801831256
MSFT,2020-04-09,"[""listen conversation microsoft co founder billionaire philanthropist bill gates — covering everything race coronavirus vaccine businesses reopen listen subscribe squawk pod podcast squawkcnbc"",""microsoft won’t coming surface neo dual screened pc time holiday season originally planned"",null,null,null,null,null,null,null,null,null,null,""microsoft release surface neo dual screen pc later year"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4151932001113892
MSFT,2020-04-13,[],0.41459648801831256
MSFT,2020-04-14,[],0.41459648801831256
MSFT,2020-04-15,[],0.41459648801831256
MSFT,2020-04-16,[],0.41459648801831256
MSFT,2020-04-17,[],0.41459648801831256
MSFT,2020-04-20,[],0.41459648801831256
MSFT,2020-04-21,[],0.41459648801831256
MSFT,2020-04-22,[],0.41459648801831256
MSFT,2020-04-23,[],0.41459648801831256
MSFT,2020-04-24,[],0.41459648801831256
MSFT,2020-04-27,[],0.41459648801831256
MSFT,2020-04-28,[],0.41459648801831256
MSFT,2020-04-29,"[""microsoft reports q3 earnings beat says coronavirus 'minimal net impact' revenue msft"",""microsoft’s stock rises company reports 15 sales jump"",null,null,null,null,null,null,null,null,null,null,""microsoft set report earnings bell"",null,null,null,null,null,null,null,null,null,null,""even analysts trimmed earnings expectations giants like microsoft apple amazon — country’s three valuable companies investors betting covid 19 crisis accelerates growing power america’s corporate colossuses"",null,null,null,""san francisco — facebook cautioned wall street wednesday could face intensifying difficulties advertising business coronavirus pandemic also indicated toll would deep"",""paul krugman times opinion columnist nobel prize winning economist special guest next dealbook debrief call tomorrow 11 eastern discuss deficit spending debate bailouts take questions r v p join want inbox morning sign"",""alice wu wrote directed 2005 debut “saving face ” knew wasn’t going typical hollywood rom com “last emperor” star joan chen cast wildly type frumpy isn’t mysteriously pregnant mom ensemble consisted largely unknowns much film set flushing queens even neighborhood’s prettiest parts story focused budding lesbian relationship two chinese american overachievers"",null,null,null]",0.4137911583696093
MSFT,2020-04-30,"[""microsoft analysts redmond q3 beat 'a core growth holding' msft"",""new xbox schedule game production may slowed coronavirus microsoft exec says"",null,null,null,null,null,null,null,null,null,null,""microsoft narrow focus software developers year virtual build conference"",null,null,null,null,null,null,null,null,null,null,""zoom choice oracle cloud looks smart microsoft google aggressive moves video"",null,null,null,""heard street microsoft’s business diversity proves advantage pandemic driven slump"",""thursday amazon reported blockbuster first quarter sales week microsoft facebook google showed robust gains supply chain disruptions slowing ad revenue put little dent cash rich giants together apple account 20 percent p 500 index amid biggest economic crisis since great depression big tech roaring ahead"",""want inbox morning sign"",null,null,null]",0.4142881418977465
MSFT,2020-05-01,[],0.41459648801831256
MSFT,2020-05-04,[],0.41459648801831256
MSFT,2020-05-05,[],0.41459648801831256
MSFT,2020-05-06,[],0.41459648801831256
MSFT,2020-05-07,"[""microsoft unveils couple new laptops — including tiny one 399"",""morning jan 3 email sent indonesian embassy australia member premier western australia’s staff worked health ecological issues attached word document aroused immediate suspicions since intended recipient knew supposed sender"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4141286164522171
MSFT,2020-05-08,[],0.41459648801831256
MSFT,2020-05-11,[],0.41459648801831256
MSFT,2020-05-12,[],0.41459648801831256
MSFT,2020-05-13,[],0.41459648801831256
MSFT,2020-05-14,[],0.41459648801831256
MSFT,2020-05-15,"[""microsoft 5b security segment approaches 55b market opportunity msft"",""review microsoft surface book 3 delivers high speed dated design jordannovet says"",null,null,null,null,null,null,null,null,null,null,""review microsoft surface book 3 delivers high speed dated design jordannovet says"",null,null,null,null,null,null,null,null,null,null,""new subscribers friday biggest analyst calls day goldman sachs yum brands microsoft amp"",null,null,null,""microsoft surface book 3 delivers high speed dated design"",""microsoft unitedhealth offer companies free app screen employees coronavirus"",null,null,null,null]",0.4153998841842016
MSFT,2020-05-18,[],0.41459648801831256
MSFT,2020-05-19,[],0.41459648801831256
MSFT,2020-05-20,[],0.41459648801831256
MSFT,2020-05-21,[],0.41459648801831256
MSFT,2020-05-22,"[""microsoft announced dozens advances annual build conference — important"",""“it tires talk rich men ” said teddy roosevelt product wealth “you expect man millions head great industry man worth hearing rule don’t know anything outside businesses ”"",null,null,null,null,null,null,null,null,null,null,""article part tech newsletter sign receive weekdays"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4156195720036824
MSFT,2020-05-26,[],0.41459648801831256
MSFT,2020-05-27,[],0.41459648801831256
MSFT,2020-05-28,[],0.41459648801831256
MSFT,2020-05-29,[],0.41459648801831256
MSFT,2020-06-01,[],0.41459648801831256
MSFT,2020-06-02,[],0.41459648801831256
MSFT,2020-06-03,[],0.41459648801831256
MSFT,2020-06-04,[],0.41459648801831256
MSFT,2020-06-05,"[""“hate speech place world social media speech stimulates violence ” former microsoft ceo steve ballmer said week"",""combined market cap alphabet googl apple aapl amazon amzn facebook fb microsoft msft hit 5 73 trillion today new time high"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4144235402345657
MSFT,2020-06-08,[],0.41459648801831256
MSFT,2020-06-09,[],0.41459648801831256
MSFT,2020-06-10,[],0.41459648801831256
MSFT,2020-06-11,[],0.41459648801831256
MSFT,2020-06-12,[],0.41459648801831256
MSFT,2020-06-15,[],0.41459648801831256
MSFT,2020-06-16,"[""coronavirus pandemic reached neighborhood outskirts houston infecting garbage man sending everyone else quarantine libby francola already reeling"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4141955077648163
MSFT,2020-06-17,[],0.41459648801831256
MSFT,2020-06-18,[],0.41459648801831256
MSFT,2020-06-19,[],0.41459648801831256
MSFT,2020-06-22,[],0.41459648801831256
MSFT,2020-06-23,[],0.41459648801831256
MSFT,2020-06-24,[],0.41459648801831256
MSFT,2020-06-25,"[""washington — months lawyers justice department marshaling forces possible antitrust lawsuit google spurred personal interest attorney general william p barr"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4144667387008667
MSFT,2020-06-26,[],0.41459648801831256
MSFT,2020-06-29,[],0.41459648801831256
MSFT,2020-06-30,[],0.41459648801831256
MSFT,2020-07-01,"[""new subscribers mike santoli market notes digesting gains buy microsoft doubt sucker rally"",""washington — chief executives four world’s biggest technology companies appear congress month part sweeping antitrust investigation market power according committee running inquiry setting high profile face companies skeptical lawmakers"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4147300422191621
MSFT,2020-07-02,[],0.41459648801831256
MSFT,2020-07-06,[],0.41459648801831256
MSFT,2020-07-07,"[""microsoft sues stop covid 19 scammers attacking customers"",""though session high nasdaq led dow amp p 500 since opening bell big tech stocks like microsoft apple facebook rose follow along latest stock market updates"",null,null,null,null,null,null,null,null,null,null,""microsoft ceo satya nadella execs peggy johnson departure years clear role model women microsoft technology know continue inspire young women stem new role"",null,null,null,null,null,null,null,null,null,null,""microsoft exec peggy johnson joins troubled augmented reality start magic leap ceo"",null,null,null,""magic leap hired peggy johnson top microsoft executive new c e"",""san francisco — magic leap said tuesday hired peggy johnson top executive microsoft chief executive troubled augmented reality headset start shifts focus consumers businesses"",null,null,null,null]",0.4146579603354136
MSFT,2020-07-08,"[""skills bill gates learned microsoft helping fight covid 19 pandemic via cnbcmakeit"",""stocks rose wednesday volatile trading led gains major tech names apple microsoft wall street regained losses previous session amp p 500 climbed 1 44 dow 0 69 nasdaq 1 44"",null,null,null,null,null,null,null,null,null,null,""tyler blevins better known video gaming world ninja posted cryptic tweet wednesday seemed hint sort announcement ardent fans thought might reveal kind big dollar contract one would expect baseball basketball stars"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4148590068022411
MSFT,2020-07-09,[],0.41459648801831256
MSFT,2020-07-10,[],0.41459648801831256
MSFT,2020-07-13,[],0.41459648801831256
MSFT,2020-07-14,[],0.41459648801831256
MSFT,2020-07-15,[],0.41459648801831256
MSFT,2020-07-16,[],0.41459648801831256
MSFT,2020-07-17,[],0.41459648801831256
MSFT,2020-07-20,"[""microsoft owned minecraft stop using amazon cloud"",""microsoft continued pump teams platform contribution actual business complicated"",null,null,null,null,null,null,null,null,null,null,""streets new york crowded protesters shantell martin received email ad agency last month"",null,null,null,null,null,null,null,null,null,null,""90 companies listed p 500 report latest earnings week far 73 percent blue chip companies released second quarter results beat analyst expectations according factset keep"",null,null,null,""times insider explains delivers behind scenes insights journalism comes together"",null,null,null,null,null]",0.41412153840065
MSFT,2020-07-21,[],0.41459648801831256
MSFT,2020-07-22,"[""microsoft cloud strength drives fourth quarter results msft ▼ 2 ah"",""heads microsoft tesla report earnings close msft tsla"",""second quarter earnings season continues today microsoft tesla reporting quarterly results bell 5 things know stock market opens"",""one big similarity 2000 microsoft remains one largest stocks amp p 500 market cap ranks msft 1 2 csco 2 22 ge 3 101 wmt 4 9 intc 5 15"",""filing slack claims microsoft illegally tied collaboration software microsoft teams dominant suite productivity programs microsoft office includes outlook word excel powerpoint"",""microsoft undeniably one big tech elite given size wealth stock market value software giant stood apart google facebook amazon apple one important respect microsoft bully tech world escaped antitrust scrutiny far"",null,null,null,null,null,null,""3 etfs play microsoft earnings"",null,null,null,null,null,null,null,null,null,null,""premarket prep previewing earnings tesla tsla microsoft msft"",null,null,null,""stock futures hold steady microsoft sheds 2 6 reporting earnings"",""stocks making biggest moves hours microsoft tesla chipotle"",""microsoft revenue grew 13 despite coronavirus"",""microsoft shares fell hours wednesday company reported fiscal q4 earnings exceeded analysts’ expectations"",""microsoft set report earnings bell"",""slack accuses microsoft anticompetitive practices eu complaint""]",0.4150938263961247
MSFT,2020-07-23,"[""stocks fell volatile trading thursday microsoft apple led broader market lower traders pored disappointing unemployment data dow 1 31 amp p 500 fell 1 23 nasdaq 2 29"",""microsoft slowdown search advertising could spell tough news ahead google"",""five largest stocks p 500 account 22 percent index’s market capitalization according goldman sachs soaring share prices alphabet amazon apple facebook microsoft — set new highs month — led record degree market concentration makes analysts nervous notes dealbook newsletter"",""join us today 11 eastern timely discussion deteriorating relationship u china implications huawei tiktok 5g special guest dealbook debrief conference call david sanger times’s national security correspondent covering “new tech cold war” world’s two largest economies r v p want delivered inbox day sign"",""want get briefing email here’s sign"",null,null,null,null,null,null,null,""microsoft unveils new exclusive xbox games ahead next gen console war sony"",null,null,null,null,null,null,null,null,null,null,""stocks making biggest moves midday whirlpool twitter microsoft las vegas sands amp"",null,null,null,""stocks edge lower disappointing unemployment data microsoft dips earnings"",""new subscribers thursday biggest analyst calls day apple microsoft tesla amp"",""stocks making biggest moves premarket twitter amp blackstone tesla microsoft amp"",""today nintendo part crowded video game market competes sony microsoft apple google company around 130 years able stay relevant long"",""microsoft msft tesla tsla chipotle cmg fell earnings today overall 94 stocks reported since yesterday close average 1 8 day 16 94 missed eps estimates 15 94 raised guidance"",""slack technologies whose popular collaboration software become embedded routines millions workers said filed complaint microsoft accusing tech giant using market power try crush upstart rival""]",0.4148067327646109
MSFT,2020-07-24,[],0.41459648801831256
MSFT,2020-07-27,[],0.41459648801831256
MSFT,2020-07-28,[],0.41459648801831256
MSFT,2020-07-29,[],0.41459648801831256
MSFT,2020-07-30,"[""wednesday representative david cicilline democrat rhode island chairman house judiciary committee’s antitrust subcommittee opened half virtual hearing “online platforms market power” combative opening statement “our founders would bow king bow emperors online economy ”"",""article part tech newsletter sign receive weekdays"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4149981886148453
MSFT,2020-07-31,"[""microsoft talks buy social app tiktok source tells cnbc"",""microsoft tiktok make strategic sense deal simply good pass"",null,null,null,null,null,null,null,null,null,null,""microsoft reportedly talks purchase tiktok jonfortt shares decision would make question microsoft’s focus “it’s hard imagine you’d make money tiktok outside advertising consumer data collection"",null,null,null,null,null,null,null,null,null,null,""microsoft reportedly talks buy social app tiktok"",null,null,null,""combined market cap apple microsoft amazon 2 3 times market cap entire russell 2000"",""reporter tried block amazon facebook google apple microsoft life much harder could possibly imagine"",""san francisco — tiktok chinese owned video app scrutiny trump administration talks sell microsoft companies president trump weighs harsh actions business including forcing tiktok divorce parent company bytedance said people knowledge discussions"",""chief executives amazon facebook google apple called house antitrust committee week ostensibly answer questions whether much power whether hurts consumers"",""pandemic stretches companies souring remote work maybe that’s they’re right"",null]",0.4138597978485955
MSFT,2020-08-03,[],0.41459648801831256
MSFT,2020-08-04,"[""long term investors prefer microsoft msft amazon amzn tesla tsla facebook fb tech survey says"",""microsoft msft commits become 'zero waste' company 2030 carbon negative pledge"",""“microsoft viewed grandpa’s company trying change ” said analyst wedbush securities “microsoft goes uncool company many 25 potentially hip tiktok get done ”"",""microsoft said talks could result purchase tiktok’s service united states canada australia new zealand though cautioned discussions still “preliminary ”"",""deal tiktok — whose app featuring video clips become wildly popular among young smartphone users — could give microsoft control one largest influential social networks country"",""president trump said tiktok would shut sept 15 unless microsoft another company purchased suggested call chief executive microsoft “go ahead” acquisition"",""microsoft emerged recent days leading suitor fast growing embattled social media app tiktok company may buying big headache"",""want get briefing email here’s sign"",""welcome best late night rundown previous night’s highlights lets sleep — lets us get paid watch comedy we’re stuck home moment 50 best movies netflix right"",""fauci birx’s back obama endorses 100 ballot candidates manhattan may taking harder look trump it’s tuesday politics tip sheet sign get politics inbox every weekday"",""democrats republicans congress started far apart negotiations latest coronavirus stimulus bill last month haven’t closed gap much since — even though extended unemployment benefits expired friday"",null,""msft deeper dive microsoft debt 🏦"",null,null,null,null,null,null,null,null,null,null,""msft microsoft set sept 15 deadline ink deal"",null,null,null,""china u microsoft potential tiktok deal need know ⚡️ “microsoft talks buy tiktok”"",""microsoft reveals details 'netflix games' service launching sept 15"",""chinese state media slams u giving microsoft go ahead buy popular social video app tiktok 5 things know stock market opens"",""stock market live updates futures dip microsoft falls 1 stimulus talks continue"",""chinese state media labeled u “rogue country” dubbed potential sale social media firm tiktok microsoft “theft ”"",""president trump says microsoft pay key money treasury dept tiktok deal""]",0.4144817920107591
MSFT,2020-08-05,[],0.41459648801831256
MSFT,2020-08-06,[],0.41459648801831256
MSFT,2020-08-07,"[""microsoft facebook blast apple restrictive rules gaming apps"",""tiktok long presented parenting problem millions americans raising preteens teenagers distracted viral videos attest c asked recently assess whether also national security problem answer came back highly equivocal"",null,null,null,null,null,null,null,null,null,null,""washington — trump administration announced sweeping restrictions two popular chinese social media networks tiktok wechat sharp escalation confrontation china likely met retaliation"",null,null,null,null,null,null,null,null,null,null,""six months facebook tried get apple approve new facebook gaming app could available apple’s app store time apple said"",null,null,null,""malenda meacham usually watches memphis grizzlies play home games fedex forum perch section 106 stands cheers paces course pretends pound cartoon bongos whenever flash arena’s big screens"",""article part tech newsletter sign receive weekdays"",null,null,null,null]",0.4140982329845429
MSFT,2020-08-10,[],0.41459648801831256
MSFT,2020-08-11,[],0.41459648801831256
